State,2015 - CR,2016 - CR,2017 - CR,2018 - CR,2019 - CR,2020 - CR,YEAR,No. Of Cases In Which Offenders Were Known To The Victims,No. Of Cases In Which Offenders Were Parents / Close Family Members,No. Of Cases In Which Offenders Were Relatives,No. Of Cases In Which Offenders Were Neighbours,No. Of Cases In Which Offenders Were Other Known Persons
Uttar Pradesh,3025,4816,4246,3946,3065,2769,2013,3020.0,63.0,167.0,986.0,1804.0
Uttar Pradesh,3025,4816,4246,3946,3065,2769,1999,1324.0,6.0,96.0,575.0,647.0
Uttarakhand,283,336,374,561,526,487,2001,74.0,0.0,6.0,20.0,48.0
Uttarakhand,283,336,374,561,526,487,2002,89.0,16.0,14.0,11.0,48.0
Uttarakhand,283,336,374,561,526,487,2003,107.0,2.0,4.0,26.0,75.0
Uttarakhand,283,336,374,561,526,487,2004,115.0,13.0,3.0,19.0,80.0
Uttarakhand,283,336,374,561,526,487,2005,133.0,3.0,4.0,26.0,100.0
Uttarakhand,283,336,374,561,526,487,2006,147.0,6.0,9.0,51.0,81.0
Uttarakhand,283,336,374,561,526,487,2007,117.0,8.0,11.0,23.0,75.0
Uttarakhand,283,336,374,561,526,487,2008,82.0,6.0,0.0,5.0,71.0
Uttarakhand,283,336,374,561,526,487,2009,107.0,6.0,5.0,19.0,77.0
Uttarakhand,283,336,374,561,526,487,2010,103.0,11.0,4.0,29.0,59.0
Uttarakhand,283,336,374,561,526,487,2011,112.0,4.0,6.0,35.0,67.0
Uttarakhand,283,336,374,561,526,487,2012,116.0,14.0,8.0,26.0,68.0
Uttarakhand,283,336,374,561,526,487,2013,228.0,10.0,6.0,62.0,150.0
West Bengal,1199,1110,1084,1069,1069,1128,2001,18.0,0.0,0.0,1.0,17.0
West Bengal,1199,1110,1084,1069,1069,1128,2002,32.0,0.0,1.0,11.0,20.0
West Bengal,1199,1110,1084,1069,1069,1128,2003,41.0,15.0,3.0,11.0,12.0
West Bengal,1199,1110,1084,1069,1069,1128,2004,24.0,24.0,0.0,0.0,0.0
West Bengal,1199,1110,1084,1069,1069,1128,2005,49.0,36.0,1.0,5.0,7.0
West Bengal,1199,1110,1084,1069,1069,1128,2006,411.0,6.0,19.0,158.0,228.0
West Bengal,1199,1110,1084,1069,1069,1128,2007,1908.0,114.0,237.0,535.0,1022.0
West Bengal,1199,1110,1084,1069,1069,1128,2008,1034.0,9.0,39.0,268.0,718.0
West Bengal,1199,1110,1084,1069,1069,1128,2009,1828.0,3.0,237.0,651.0,937.0
West Bengal,1199,1110,1084,1069,1069,1128,2010,2134.0,4.0,106.0,1037.0,987.0
West Bengal,1199,1110,1084,1069,1069,1128,2011,1184.0,7.0,20.0,540.0,617.0
West Bengal,1199,1110,1084,1069,1069,1128,2012,1904.0,6.0,40.0,984.0,874.0
West Bengal,1199,1110,1084,1069,1069,1128,2013,422.0,18.0,195.0,25.0,184.0
West Bengal,1199,1110,1084,1069,1069,1128,1999,196.0,87.0,5.0,33.0,71.0
Chandigarh,72,68,65,86,112,60,2001,18.0,2.0,0.0,7.0,9.0
Chandigarh,72,68,65,86,112,60,2002,17.0,2.0,0.0,6.0,9.0
Chandigarh,72,68,65,86,112,60,2003,18.0,1.0,7.0,10.0,0.0
Chandigarh,72,68,65,86,112,60,2004,19.0,1.0,1.0,10.0,7.0
Chandigarh,72,68,65,86,112,60,2005,33.0,1.0,0.0,11.0,21.0
Chandigarh,72,68,65,86,112,60,2006,19.0,5.0,3.0,1.0,10.0
Chandigarh,72,68,65,86,112,60,2007,22.0,2.0,0.0,3.0,17.0
Chandigarh,72,68,65,86,112,60,2008,20.0,3.0,1.0,3.0,13.0
Chandigarh,72,68,65,86,112,60,2009,29.0,0.0,0.0,4.0,25.0
Chandigarh,72,68,65,86,112,60,2010,31.0,0.0,1.0,8.0,22.0
Chandigarh,72,68,65,86,112,60,2011,27.0,0.0,0.0,2.0,25.0
Chandigarh,72,68,65,86,112,60,2012,27.0,4.0,6.0,16.0,1.0
Chandigarh,72,68,65,86,112,60,2013,45.0,0.0,10.0,26.0,9.0
Chandigarh,72,68,65,86,112,60,1999,0.0,0.0,0.0,0.0,0.0
Delhi,2199,2155,1229,1215,1253,997,1999,351.0,5.0,20.0,213.0,113.0
Delhi,2199,2155,1229,1215,1253,997,1999,332.0,5.0,18.0,206.0,103.0
Lakshadweep,0,5,0,2,0,3,2001,0.0,0.0,0.0,0.0,0.0
Lakshadweep,0,5,0,2,0,3,2002,1.0,0.0,0.0,0.0,1.0
Lakshadweep,0,5,0,2,0,3,2003,0.0,0.0,0.0,0.0,0.0
Lakshadweep,0,5,0,2,0,3,2004,2.0,0.0,0.0,0.0,0.0
Lakshadweep,0,5,0,2,0,3,2005,0.0,0.0,0.0,0.0,0.0
Lakshadweep,0,5,0,2,0,3,2006,0.0,0.0,0.0,0.0,0.0
Lakshadweep,0,5,0,2,0,3,2007,1.0,0.0,0.0,0.0,1.0
Lakshadweep,0,5,0,2,0,3,2008,2.0,0.0,0.0,0.0,2.0
Lakshadweep,0,5,0,2,0,3,2009,1.0,0.0,0.0,0.0,1.0
Lakshadweep,0,5,0,2,0,3,2010,0.0,0.0,0.0,0.0,0.0
Lakshadweep,0,5,0,2,0,3,2011,0.0,0.0,0.0,0.0,0.0
Lakshadweep,0,5,0,2,0,3,2012,0.0,0.0,0.0,0.0,0.0
Lakshadweep,0,5,0,2,0,3,2013,2.0,0.0,0.0,0.0,2.0
Puducherry,3,6,7,0,10,8,2001,9.0,0.0,0.0,5.0,4.0
Puducherry,3,6,7,0,10,8,2002,6.0,0.0,1.0,2.0,3.0
Puducherry,3,6,7,0,10,8,2003,2.0,0.0,0.0,2.0,0.0
Puducherry,3,6,7,0,10,8,2004,4.0,0.0,0.0,2.0,2.0
Puducherry,3,6,7,0,10,8,2005,6.0,0.0,0.0,5.0,1.0
Puducherry,3,6,7,0,10,8,2006,9.0,0.0,0.0,4.0,5.0
Puducherry,3,6,7,0,10,8,2007,9.0,0.0,0.0,4.0,5.0
Puducherry,3,6,7,0,10,8,2008,8.0,0.0,0.0,3.0,5.0
Puducherry,3,6,7,0,10,8,2009,1.0,0.0,0.0,0.0,1.0
Puducherry,3,6,7,0,10,8,2010,3.0,0.0,0.0,3.0,0.0
Puducherry,3,6,7,0,10,8,2011,7.0,0.0,0.0,2.0,5.0
Puducherry,3,6,7,0,10,8,2012,13.0,0.0,0.0,4.0,9.0
Puducherry,3,6,7,0,10,8,2013,17.0,0.0,1.0,7.0,9.0
